,conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,revenue_yoy
0,10291,2025-07-09,2025-04-03,97,,MATCHED_STRONG,False,OK,,47818000000.0,4508000000.0,3.02,5311000000.0,0.32,0.438,0.094,11911000000.0,1.698,37793000000.0,14007000000.0,NKE,-0.0729532192086233
1,11520,2025-07-09,2025-04-29,71,,MATCHED_NAME_VERIFIED,False,OK,,16755000000.0,3247000000.0,12.31,2110000000.0,0.455,0.482,0.194,20119000000.0,3.682,37452000000.0,7960000000.0,RCL,0.1364828004130001
2,16454492,2025-07-09,2025-05-06,64,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,-0.0008145024470218587
3,32602412,2025-07-09,2025-04-25,75,,MATCHED_STRONG,False,OK,,11201000000.0,1304000000.0,1.8,1267000000.0,0.409,0.486,0.116,13851000000.0,6.748,21247000000.0,2699000000.0,LVS,-0.0008919810900008818
4,9282,2025-07-10,2025-04-25,76,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,0.03249232612113495
5,10291,2025-07-10,2025-04-03,98,,MATCHED_STRONG,False,OK,,47818000000.0,4508000000.0,3.02,5311000000.0,0.32,0.438,0.094,11911000000.0,1.698,37793000000.0,14007000000.0,NKE,-0.0729532192086233
6,11520,2025-07-10,2025-04-29,72,,MATCHED_NAME_VERIFIED,False,OK,,16755000000.0,3247000000.0,12.31,2110000000.0,0.455,0.482,0.194,20119000000.0,3.682,37452000000.0,7960000000.0,RCL,0.1364828004130001
7,16454492,2025-07-10,2025-05-06,65,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,-0.0008145024470218587
8,79498203,2025-07-10,2025-04-16,85,,MATCHED_STRONG,False,OK,,57737000000.0,3660000000.0,11.13,4944000000.0,0.31,0.64,0.063,32925000000.0,5.033,76111000000.0,12616000000.0,UAL,0.05307603917777737
9,120643512,2025-07-10,2025-05-05,66,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,0.05569882949143423
10,9282,2025-07-11,2025-04-25,77,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,0.03249232612113495
11,10291,2025-07-11,2025-04-03,99,,MATCHED_STRONG,False,OK,,47818000000.0,4508000000.0,3.02,5311000000.0,0.32,0.438,0.094,11911000000.0,1.698,37793000000.0,14007000000.0,NKE,-0.0729532192086233
12,16454492,2025-07-11,2025-05-06,66,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,-0.0008145024470218587
13,44001820,2025-07-11,2025-07-10,1,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
14,120643512,2025-07-11,2025-05-05,67,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,0.05569882949143423
15,9282,2025-07-14,2025-04-25,80,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,0.03249232612113495
16,16454492,2025-07-14,2025-05-06,69,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,-0.0008145024470218587
17,32602412,2025-07-14,2025-04-25,80,,MATCHED_STRONG,False,OK,,11201000000.0,1304000000.0,1.8,1267000000.0,0.409,0.486,0.116,13851000000.0,6.748,21247000000.0,2699000000.0,LVS,-0.0008919810900008818
18,44001820,2025-07-14,2025-07-10,4,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
19,120643512,2025-07-14,2025-05-05,70,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,0.05569882949143423
20,292491487,2025-07-14,2025-05-08,67,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
21,9282,2025-07-15,2025-04-25,81,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,0.03249232612113495
22,8677881,2025-07-15,2025-05-05,71,,MATCHED_STRONG,False,OK,,6665300000.0,633700000.0,1.47,1408400000.0,0.075,0.399,0.095,3370300000.0,0.648,13253900000.0,8029900000.0,ON,-0.18277341834232463
23,16454492,2025-07-15,2025-05-06,70,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,-0.0008145024470218587
24,32602412,2025-07-15,2025-04-25,81,,MATCHED_STRONG,False,OK,,11201000000.0,1304000000.0,1.8,1267000000.0,0.409,0.486,0.116,13851000000.0,6.748,21247000000.0,2699000000.0,LVS,-0.0008919810900008818
25,44001820,2025-07-15,2025-07-10,5,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
26,120643512,2025-07-15,2025-05-05,71,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,0.05569882949143423
27,292491487,2025-07-15,2025-05-08,68,,MATCHED_STRONG,False,OK,,6878600000.0,859600000.0,3.89,892200000.0,0.395,0.751,0.125,4107700000.0,3.891,7306200000.0,1493800000.0,TPR,0.026718013015702535
28,4391,2025-07-16,2025-05-07,70,,MATCHED_STRONG,False,OK,,27750000000.0,2227000000.0,1.37,2753000000.0,0.039,0.501,0.08,4731000000.0,0.236,71550000000.0,57881000000.0,AMD,0.2171052631578947
29,44001820,2025-07-16,2025-07-10,6,,MATCHED_STRONG,False,OK,,61924000000.0,4485000000.0,6.94,2332000000.0,0.29,0.469,0.072,21280000000.0,3.495,78395000000.0,17440000000.0,DAL,0.030058053462414858
