,bucket,window,n,median_return,mean_return,win_rate,median_alpha,mean_alpha
0,RADAR,5,8722,0.0946,0.2128,0.514,,
1,RADAR,10,8722,0.2179,0.4649,0.5256,,
2,RADAR,20,8722,0.4352,0.8947,0.5308,,
3,RADAR,30,8722,0.6316,1.4069,0.5346,,
4,H70-79,5,7644,0.0397,0.1833,0.505,,
5,H70-79,10,7644,0.1382,0.4109,0.5145,,
6,H70-79,20,7644,0.2966,0.9894,0.5215,,
7,H70-79,30,7644,0.6298,1.5371,0.536,,
8,H80-89,5,4106,0.2764,0.5321,0.5363,,
9,H80-89,10,4106,0.4605,0.8396,0.5395,,
10,H80-89,20,4106,0.4355,1.1531,0.5343,,
11,H80-89,30,4106,0.6783,1.8179,0.5436,,
12,H90-94,5,366,0.8467,1.0545,0.6148,,
13,H90-94,10,366,1.336,2.0909,0.5984,,
14,H90-94,20,366,1.6673,3.3904,0.612,,
15,H90-94,30,366,2.7711,5.2954,0.6011,,
16,H95+,5,15,-0.0381,-0.2061,0.4667,,
17,H95+,10,15,0.6841,0.2041,0.6667,,
18,H95+,20,15,1.5757,2.741,0.6667,,
19,H95+,30,15,4.535,2.4588,0.6,,
