,bucket,irc_group,n,median_alpha_10d,win_rate_alpha_10d,median_alpha_20d,win_rate_alpha_20d,median_alpha_30d,win_rate_alpha_30d
0,MLE_1_10,IRC_TOP,1017,1.3471,0.5821,2.1403,0.5782,2.4919,0.591
1,MLE_1_10,HEADWIND,1173,-0.1349,0.4936,-0.2607,0.4945,0.2301,0.5115
2,MLE_11_20,IRC_TOP,967,0.3304,0.5274,0.4641,0.5222,0.1225,0.5088
3,MLE_11_20,HEADWIND,1223,0.0387,0.5045,-0.0956,0.4947,-0.0574,0.4988
4,MLE_21_30,IRC_TOP,856,0.269,0.5199,0.0388,0.5012,-0.5757,0.4766
5,MLE_21_30,HEADWIND,1334,-0.1537,0.479,-0.0762,0.4948,-0.4246,0.4805
6,MLE_31_50,IRC_TOP,1620,-0.1174,0.4901,-0.3191,0.4833,-0.4381,0.4778
7,MLE_31_50,HEADWIND,2760,-0.3078,0.4736,-0.3614,0.4732,-0.6024,0.475
8,MLE_51_70,IRC_TOP,1515,-0.3772,0.4766,-0.7511,0.4528,-1.4655,0.4416
9,MLE_51_70,HEADWIND,2865,-0.5274,0.452,-0.9752,0.4391,-1.1106,0.4478
10,MLE_71_100,IRC_TOP,1986,-0.5765,0.4537,-0.6446,0.4557,-1.0035,0.4411
11,MLE_71_100,HEADWIND,4584,-0.3654,0.4671,-0.8645,0.4394,-1.3163,0.4282
