,decile,median_return,mean_return,win_rate,n
0,1,0.004583232349784305,0.007006930303537692,0.5331221719457013,22100
1,2,0.0046222720244156745,0.00539801231790974,0.5381447963800905,22100
2,3,0.004598257569750741,0.004603090261599156,0.5395766221813162,21730
3,4,0.0032042479440949068,0.0038252955748392394,0.5261538461538462,22100
4,5,0.0026734901310838666,0.0036283089134379453,0.5231575078110642,21764
5,6,0.0032734935800221576,0.0043704631397719395,0.5272364724009789,22066
6,7,0.0032970674373974385,0.003995396796648862,0.5268333027017092,21764
7,8,0.003130567005488416,0.0043756769926144535,0.5262847820175837,22066
8,9,0.003615280461978121,0.006332830666698047,0.5277063039882375,21764
9,10,0.008120253523063448,0.014566757849887459,0.5525339366515837,22100
