date,ticker,breach_day,worst_rank_after,post_missing_rank,bucket,reentry_50,days_to_reentry_50,reentry_25,days_to_reentry_25,reentry_10,days_to_reentry_10,post_breach_ret,post_reentry50_ret
2025-07-09,LVS,5,395.0,False,D_gt250,True,12.0,False,,False,,0.07328990228013033,0.008802143130501427
2025-07-09,NKE,3,438.0,False,D_gt250,True,10.0,False,,False,,0.04470588235294115,-0.04745078243311451
2025-07-09,RCL,7,467.0,False,D_gt250,False,,False,,False,,-0.10305626963724657,
2025-07-09,WYNN,6,411.0,False,D_gt250,False,,False,,False,,-0.020376461988304118,
2025-07-10,LUV,10,495.0,False,D_gt250,False,,False,,False,,-0.11124473842453397,
2025-07-10,NCLH,10,233.0,False,C_151-250,True,5.0,False,,False,,0.04127659574468079,-0.04264475743348983
2025-07-10,NKE,2,438.0,False,D_gt250,True,10.0,False,,False,,0.02906574394463668,-0.06171125694093893
2025-07-10,RCL,6,467.0,False,D_gt250,False,,False,,False,,-0.11516709511568135,
2025-07-10,UAL,10,446.0,False,D_gt250,False,,False,,False,,-0.019502953304357473,
2025-07-10,WYNN,5,411.0,False,D_gt250,False,,False,,False,,-0.020193713450292305,
2025-07-11,DAL,9,457.0,False,D_gt250,False,,False,,False,,-0.01955766770243106,
2025-07-11,LUV,9,495.0,False,D_gt250,False,,False,,False,,-0.10944076969332528,
2025-07-11,NCLH,9,233.0,False,C_151-250,True,5.0,False,,False,,0.02127659574468077,-0.06103286384976525
2025-07-11,NKE,1,438.0,False,D_gt250,True,10.0,False,,False,,0.026851211072664416,-0.06373043917213528
2025-07-11,WYNN,4,411.0,False,D_gt250,False,,False,,False,,-0.02768640350877194,
2025-07-14,DAL,8,457.0,False,D_gt250,False,,False,,False,,-0.02211661487845007,
2025-07-14,LUV,8,495.0,False,D_gt250,False,,False,,False,,-0.12627781118460613,
2025-07-14,LVS,2,395.0,False,D_gt250,True,12.0,False,,False,,0.07939739413680802,0.014542671259089257
2025-07-14,NCLH,8,233.0,False,C_151-250,True,5.0,False,,False,,0.009787234042553106,-0.07159624413145538
2025-07-14,TPR,11,266.0,False,D_gt250,False,,False,,False,,0.005214152700186103,
2025-07-14,WYNN,3,411.0,False,D_gt250,False,,False,,False,,-0.0074013157894736725,
2025-07-15,DAL,7,457.0,False,D_gt250,True,13.0,False,,False,,0.06817766404679215,0.0
2025-07-15,LUV,7,495.0,False,D_gt250,False,,False,,False,,-0.07636800962116652,
2025-07-15,LVS,1,395.0,False,D_gt250,True,12.0,False,,False,,0.09710912052117271,0.03119020283199392
2025-07-15,NCLH,7,233.0,False,C_151-250,True,5.0,False,,False,,0.03148936170212768,-0.05164319248826288
2025-07-15,ON,6,493.0,False,D_gt250,False,,False,,False,,-0.16104680422747863,
2025-07-15,TPR,10,266.0,False,D_gt250,False,,False,,False,,0.03221601489757919,
2025-07-15,WYNN,2,411.0,False,D_gt250,False,,False,,False,,0.02786915204678353,
2025-07-16,AMD,15,299.0,False,D_gt250,True,1.0,False,,False,,0.13057871505640017,0.0697215777262179
2025-07-16,DAL,6,457.0,False,D_gt250,True,13.0,False,,False,,0.08609029427892523,0.01676933607118425
2025-07-16,TPR,9,266.0,False,D_gt250,False,,False,,False,,0.05707635009310974,
2025-07-17,COHR,5,493.0,False,D_gt250,True,2.0,True,9.0,True,10.0,-0.07161669367909229,-0.12128475551294338
2025-07-17,GEV,3,447.0,False,D_gt250,True,1.0,True,1.0,True,1.0,0.1389460645913405,-0.005977457354975124
2025-07-17,TPR,8,487.0,False,D_gt250,False,,False,,False,,-0.10903165735567977,
2025-07-18,TPR,7,487.0,False,D_gt250,False,,False,,False,,-0.06201117318435767,
2025-07-21,AMD,12,321.0,False,D_gt250,True,1.0,False,,False,,0.07981853849926424,0.021693735498839795
2025-07-21,TPR,6,488.0,False,D_gt250,False,,False,,False,,-0.06973929236499077,
2025-07-21,UAL,3,446.0,False,D_gt250,True,13.0,True,15.0,True,16.0,0.140867045581188,0.03960597136183619
2025-07-22,DHI,1,174.0,False,C_151-250,True,3.0,True,4.0,True,7.0,0.1345751501653507,0.14986320109439144
2025-07-22,TPR,5,491.0,False,D_gt250,False,,False,,False,,-0.08826815642458108,
2025-07-23,GEV,10,488.0,False,D_gt250,False,,False,,False,,-0.0902264690391994,
2025-07-23,TEL,10,342.0,False,D_gt250,False,,False,,False,,0.007498125468632821,
2025-07-23,TPR,4,492.0,False,D_gt250,False,,False,,False,,-0.07942271880819363,
2025-07-24,BKR,9,445.0,False,D_gt250,False,,False,,False,,0.0006907667510938076,
2025-07-24,GEV,9,488.0,False,D_gt250,False,,False,,False,,-0.08810473252576922,
2025-07-25,DECK,4,460.0,False,D_gt250,False,,False,,False,,0.027597249693886994,
