date,ticker,industry,breach_day,irc_rank_at_breach,irc_delta_5d,irc_state,reentry_50,post_breach_ret
2025-07-09,LVS,Lodging,5,5,3.0,STRONG,True,0.07328990228013033
2025-07-09,NKE,Apparel,3,6,,STRONG,True,0.04470588235294115
2025-07-09,RCL,Leisure Time,7,1,0.0,STRONG,False,-0.10305626963724657
2025-07-09,WYNN,Lodging,6,6,4.0,STRONG,False,-0.020376461988304118
2025-07-10,LUV,Airlines,10,4,2.0,STRONG,False,-0.11124473842453397
2025-07-10,NCLH,Leisure Time,10,1,0.0,STRONG,True,0.04127659574468079
2025-07-10,NKE,Apparel,2,6,,STRONG,True,0.02906574394463668
2025-07-10,RCL,Leisure Time,6,1,0.0,STRONG,False,-0.11516709511568135
2025-07-10,UAL,Airlines,10,4,2.0,STRONG,False,-0.019502953304357473
2025-07-10,WYNN,Lodging,5,6,4.0,STRONG,False,-0.020193713450292305
2025-07-11,DAL,Airlines,9,4,2.0,STRONG,False,-0.01955766770243106
2025-07-11,LUV,Airlines,9,4,2.0,STRONG,False,-0.10944076969332528
2025-07-11,NCLH,Leisure Time,9,1,0.0,STRONG,True,0.02127659574468077
2025-07-11,NKE,Apparel,1,6,,STRONG,True,0.026851211072664416
2025-07-11,WYNN,Lodging,4,6,4.0,STRONG,False,-0.02768640350877194
2025-07-14,DAL,Airlines,8,4,2.0,STRONG,False,-0.02211661487845007
2025-07-14,LUV,Airlines,8,4,2.0,STRONG,False,-0.12627781118460613
2025-07-14,LVS,Lodging,2,5,3.0,STRONG,True,0.07939739413680802
2025-07-14,NCLH,Leisure Time,8,1,0.0,STRONG,True,0.009787234042553106
2025-07-14,TPR,Apparel,11,5,2.0,STRONG,False,0.005214152700186103
2025-07-14,WYNN,Lodging,3,6,4.0,STRONG,False,-0.0074013157894736725
2025-07-15,DAL,Airlines,7,4,2.0,STRONG,True,0.06817766404679215
2025-07-15,LUV,Airlines,7,4,2.0,STRONG,False,-0.07636800962116652
2025-07-15,LVS,Lodging,1,5,3.0,STRONG,True,0.09710912052117271
2025-07-15,NCLH,Leisure Time,7,1,0.0,STRONG,True,0.03148936170212768
2025-07-15,ON,Semiconductors,6,31,23.0,COLLAPSED,False,-0.16104680422747863
2025-07-15,TPR,Apparel,10,5,2.0,STRONG,False,0.03221601489757919
2025-07-15,WYNN,Lodging,2,6,4.0,STRONG,False,0.02786915204678353
2025-07-16,AMD,Semiconductors,15,43,18.0,COLLAPSED,True,0.13057871505640017
2025-07-16,DAL,Airlines,6,4,2.0,STRONG,True,0.08609029427892523
2025-07-16,TPR,Apparel,9,5,2.0,STRONG,False,0.05707635009310974
2025-07-17,COHR,Electronics,5,11,4.0,WEAKENING,True,-0.07161669367909229
2025-07-17,GEV,Machinery-Constr&Mining,3,7,3.0,STRONG,True,0.1389460645913405
2025-07-17,TPR,Apparel,8,5,2.0,STRONG,False,-0.10903165735567977
2025-07-18,TPR,Apparel,7,5,2.0,STRONG,False,-0.06201117318435767
2025-07-21,AMD,Semiconductors,12,43,18.0,COLLAPSED,True,0.07981853849926424
2025-07-21,TPR,Apparel,6,5,2.0,STRONG,False,-0.06973929236499077
2025-07-21,UAL,Airlines,3,4,2.0,STRONG,True,0.140867045581188
2025-07-22,DHI,Home Builders,1,6,-10.0,STRONG,True,0.1345751501653507
2025-07-22,TPR,Apparel,5,5,2.0,STRONG,False,-0.08826815642458108
2025-07-23,GEV,Machinery-Constr&Mining,10,2,0.0,STRONG,False,-0.0902264690391994
2025-07-23,TEL,Electronics,10,16,9.0,WEAKENING,False,0.007498125468632821
2025-07-23,TPR,Apparel,4,5,2.0,STRONG,False,-0.07942271880819363
2025-07-24,BKR,Oil&Gas Services,9,32,24.0,COLLAPSED,False,0.0006907667510938076
2025-07-24,GEV,Machinery-Constr&Mining,9,2,0.0,STRONG,False,-0.08810473252576922
2025-07-25,DECK,Apparel,4,9,7.0,STRONG,False,0.027597249693886994
2025-07-25,FIX,Engineering&Construction,10,2,1.0,STRONG,False,-0.003295940788712759
2025-07-25,GEV,Machinery-Constr&Mining,8,2,0.0,STRONG,False,-0.0864946204198328
2025-07-25,TEL,Electronics,8,16,9.0,WEAKENING,False,0.0247438140464884
2025-07-28,BKR,Oil&Gas Services,7,32,24.0,COLLAPSED,False,0.023025558369790478
2025-07-28,FIX,Engineering&Construction,9,2,1.0,STRONG,False,-0.0008384410778304874
2025-07-28,GEV,Machinery-Constr&Mining,7,2,0.0,STRONG,False,-0.09365736212474607
2025-07-28,TEL,Electronics,7,16,9.0,WEAKENING,False,0.02539365158710316
2025-07-29,BKR,Oil&Gas Services,6,32,24.0,COLLAPSED,False,0.02348606953718635
2025-07-29,DECK,Apparel,2,9,7.0,STRONG,True,0.07082980126212668
2025-07-29,EME,Engineering&Construction,8,2,1.0,STRONG,False,0.00100287923392961
2025-07-29,FIX,Engineering&Construction,8,2,1.0,STRONG,False,0.02259454145946571
2025-07-29,TEL,Electronics,6,16,9.0,WEAKENING,False,0.034291427143214204
2025-07-30,BKR,Oil&Gas Services,5,32,24.0,COLLAPSED,False,0.031084503799217122
2025-07-30,FIX,Engineering&Construction,7,2,1.0,STRONG,False,0.026121776338614566
2025-07-30,GNRC,Electrical Compo&Equip,11,15,1.0,WEAKENING,False,-0.060210081921897696
2025-07-30,TEL,Electronics,5,16,9.0,WEAKENING,False,0.03759060234941258
2025-07-31,EBAY,Internet,10,9,-6.0,STRONG,True,-0.05767668562144601
2025-07-31,FIX,Engineering&Construction,6,2,1.0,STRONG,False,0.05529374349485372
2025-07-31,GEV,Machinery-Constr&Mining,4,2,0.0,STRONG,False,-0.04643743886840701
2025-07-31,GLW,Telecommunications,8,4,-12.0,STRONG,False,0.048365019011406885
2025-07-31,GNRC,Electrical Compo&Equip,10,15,1.0,WEAKENING,False,-0.06056189375282717
2025-07-31,TEL,Electronics,4,16,9.0,WEAKENING,False,0.03994001499625077
2025-08-01,DHI,Home Builders,2,3,-4.0,STRONG,True,0.09461990570302903
2025-08-01,FIX,Engineering&Construction,5,2,1.0,STRONG,False,0.016797733317913677
2025-08-01,GEV,Machinery-Constr&Mining,3,2,0.0,STRONG,False,-0.07761643217214642
2025-08-01,GNRC,Electrical Compo&Equip,9,15,1.0,WEAKENING,False,-0.06895511886214001
2025-08-04,DHI,Home Builders,1,3,-4.0,STRONG,True,0.09965768907834383
2025-08-04,FIX,Engineering&Construction,4,2,1.0,STRONG,False,0.009902278246790797
2025-08-04,GEV,Machinery-Constr&Mining,2,2,0.0,STRONG,False,-0.1277104807764653
2025-08-04,GNRC,Electrical Compo&Equip,8,15,1.0,WEAKENING,False,-0.09780368899834146
2025-08-04,WSM,Retail,9,10,-1.0,STRONG,False,-0.05545441125818029
2025-08-05,FIX,Engineering&Construction,3,2,1.0,STRONG,False,0.012909101422458713
2025-08-05,GEV,Machinery-Constr&Mining,1,2,0.0,STRONG,False,-0.13168309382288768
2025-08-06,FIX,Engineering&Construction,2,2,1.0,STRONG,False,0.04653347981959066
2025-08-07,ANET,Telecommunications,9,3,-2.0,STRONG,True,0.08655967140792575
2025-08-07,FIX,Engineering&Construction,1,2,1.0,STRONG,False,0.021033306349022673
2025-08-07,GLW,Telecommunications,3,4,-12.0,STRONG,True,0.08273764258555127
2025-08-08,ANET,Telecommunications,8,3,-2.0,STRONG,True,0.06495778504601812
2025-08-08,APP,Internet,8,8,-8.0,STRONG,True,0.3265434793151947
2025-08-08,EBAY,Internet,4,9,-6.0,STRONG,True,-0.05544272948822104
2025-08-08,GLW,Telecommunications,2,4,-12.0,STRONG,True,0.09733840304182517
2025-08-11,ANET,Telecommunications,7,3,-2.0,STRONG,True,0.07940975127405481
2025-08-11,APP,Internet,7,8,-8.0,STRONG,True,0.3535331490372957
2025-08-11,EBAY,Internet,3,9,-6.0,STRONG,True,-0.06123070674248576
2025-08-11,GLW,Telecommunications,1,4,-12.0,STRONG,True,0.10098859315589359
2025-08-12,ANET,Telecommunications,6,3,-2.0,STRONG,True,0.14642123678405716
2025-08-12,APP,Internet,6,8,-8.0,STRONG,True,0.375236432416703
2025-08-12,EBAY,Internet,2,9,-6.0,STRONG,True,-0.07300974817221773
2025-08-13,CRH,Building Materials,6,21,17.0,COLLAPSED,False,0.03386921965317913
2025-08-13,LEN,Home Builders,10,1,0.0,STRONG,True,0.05070126753168824
2025-08-14,CRH,Building Materials,5,21,17.0,COLLAPSED,False,0.02411488439306364
2025-08-14,EXPE,Internet,8,9,-1.0,STRONG,False,0.04006927865936438
2025-08-14,INTC,Semiconductors,10,3,-13.0,STRONG,False,-0.0340954673084638
2025-08-14,LEN,Home Builders,9,1,0.0,STRONG,True,0.029550738768469254
2025-08-14,MPWR,Semiconductors,1,18,-20.0,WEAKENING,False,0.009280433651554176
2025-08-15,ANET,Telecommunications,3,3,-2.0,STRONG,True,0.10618392028599688
2025-08-15,CRH,Building Materials,4,21,17.0,COLLAPSED,False,0.02276011560693636
2025-08-15,DAL,Airlines,7,2,1.0,STRONG,False,-0.044644317252657384
2025-08-15,UAL,Airlines,7,2,1.0,STRONG,True,0.004033419763756818
2025-08-15,UNH,Healthcare-Services,10,3,-2.0,STRONG,True,0.12269661470939419
2025-08-18,ANET,Telecommunications,2,3,-2.0,STRONG,True,0.08131132577774403
2025-08-18,DAL,Airlines,6,2,1.0,STRONG,False,-0.053802125919869215
2025-08-18,HUM,Healthcare-Services,8,6,3.0,STRONG,True,-0.08583705394608743
2025-08-18,UAL,Airlines,6,2,1.0,STRONG,True,0.000672236627292877
2025-08-18,UNH,Healthcare-Services,9,3,-2.0,STRONG,True,0.09652434892051498
2025-08-19,CRH,Building Materials,2,21,17.0,COLLAPSED,False,0.0047868497109826436
2025-08-19,DAL,Airlines,5,2,1.0,STRONG,False,-0.03810302534750609
2025-08-19,EXPE,Internet,5,9,-1.0,STRONG,True,0.054065440247156316
2025-08-19,UAL,Airlines,5,2,1.0,STRONG,True,0.013252664938058212
2025-08-19,UNH,Healthcare-Services,8,3,-2.0,STRONG,True,0.10243005131184058
2025-08-20,CNC,Healthcare-Services,6,6,3.0,STRONG,True,0.1335447498238196
2025-08-20,INTC,Semiconductors,6,3,-13.0,STRONG,True,0.2262334536702768
2025-08-20,UNH,Healthcare-Services,7,3,-2.0,STRONG,True,0.08051763642817944
2025-08-21,CI,Healthcare-Services,2,4,-1.0,STRONG,True,-0.03457906636520802
2025-08-21,CNC,Healthcare-Services,5,6,3.0,STRONG,True,0.11945031712473586
2025-08-21,HUM,Healthcare-Services,5,6,3.0,STRONG,True,-0.1518345698076471
2025-08-21,UNH,Healthcare-Services,6,3,-2.0,STRONG,True,0.08655242521057205
2025-08-22,CNC,Healthcare-Services,4,6,3.0,STRONG,True,0.15221987315010588
2025-08-22,DAL,Airlines,2,2,1.0,STRONG,False,-0.036958299264104655
2025-08-22,RCL,Leisure Time,10,3,-3.0,STRONG,False,-0.0621546174443115
