conid,candidate_date,ticker,mle_rank,irc_rank,source_signal_label
10291,2025-07-09,NKE,6,3,MLE_TOP10xIRC_TOP10_20d
11520,2025-07-09,RCL,7,1,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-09,WYNN,5,2,MLE_TOP10xIRC_TOP10_20d
32602412,2025-07-09,LVS,10,2,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-10,LUV,10,7,MLE_TOP10xIRC_TOP10_20d
10291,2025-07-10,NKE,4,4,MLE_TOP10xIRC_TOP10_20d
11520,2025-07-10,RCL,7,1,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-10,WYNN,5,2,MLE_TOP10xIRC_TOP10_20d
79498203,2025-07-10,UAL,8,7,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-10,NCLH,6,1,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-11,LUV,4,4,MLE_TOP10xIRC_TOP10_20d
10291,2025-07-11,NKE,8,5,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-11,WYNN,3,2,MLE_TOP10xIRC_TOP10_20d
44001820,2025-07-11,DAL,9,4,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-11,NCLH,7,1,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-14,LUV,5,2,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-14,WYNN,4,3,MLE_TOP10xIRC_TOP10_20d
32602412,2025-07-14,LVS,10,3,MLE_TOP10xIRC_TOP10_20d
44001820,2025-07-14,DAL,6,2,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-14,NCLH,8,1,MLE_TOP10xIRC_TOP10_20d
292491487,2025-07-14,TPR,7,6,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-15,LUV,6,3,MLE_TOP10xIRC_TOP10_20d
8677881,2025-07-15,ON,8,6,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-15,WYNN,2,2,MLE_TOP10xIRC_TOP10_20d
32602412,2025-07-15,LVS,4,2,MLE_TOP10xIRC_TOP10_20d
