conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,mle_rank,irc_rank,source_signal_label
10291,2025-07-09,2025-04-03,97,,MATCHED_STRONG,False,OK,,47818000000.0,4508000000.0,3.02,5311000000.0,0.32,0.438,0.094,11911000000.0,1.698,37793000000.0,14007000000.0,NKE,6,3,MLE_TOP10xIRC_TOP10_20d
11520,2025-07-09,2025-04-29,71,,MATCHED_NAME_VERIFIED,False,OK,,16755000000.0,3247000000.0,12.31,2110000000.0,0.455,0.482,0.194,20119000000.0,3.682,37452000000.0,7960000000.0,RCL,7,1,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-09,2025-05-06,64,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,5,2,MLE_TOP10xIRC_TOP10_20d
32602412,2025-07-09,2025-04-25,75,,MATCHED_STRONG,False,OK,,11201000000.0,1304000000.0,1.8,1267000000.0,0.409,0.486,0.116,13851000000.0,6.748,21247000000.0,2699000000.0,LVS,10,2,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-10,2025-04-25,76,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,10,7,MLE_TOP10xIRC_TOP10_20d
10291,2025-07-10,2025-04-03,98,,MATCHED_STRONG,False,OK,,47818000000.0,4508000000.0,3.02,5311000000.0,0.32,0.438,0.094,11911000000.0,1.698,37793000000.0,14007000000.0,NKE,4,4,MLE_TOP10xIRC_TOP10_20d
11520,2025-07-10,2025-04-29,72,,MATCHED_NAME_VERIFIED,False,OK,,16755000000.0,3247000000.0,12.31,2110000000.0,0.455,0.482,0.194,20119000000.0,3.682,37452000000.0,7960000000.0,RCL,7,1,MLE_TOP10xIRC_TOP10_20d
16454492,2025-07-10,2025-05-06,65,,MATCHED_STRONG,False,OK,,6965449000.0,429609000.0,3.94,759825000.0,-1.761,0.429,0.062,12184399000.0,-38.333,12724044000.0,-360678000.0,WYNN,5,2,MLE_TOP10xIRC_TOP10_20d
79498203,2025-07-10,2025-04-16,85,,MATCHED_STRONG,False,OK,,57737000000.0,3660000000.0,11.13,4944000000.0,0.31,0.64,0.063,32925000000.0,5.033,76111000000.0,12616000000.0,UAL,8,7,MLE_TOP10xIRC_TOP10_20d
120643512,2025-07-10,2025-05-05,66,,MATCHED_NAME_VERIFIED,False,OK,,9415989000.0,852609000.0,1.95,-555448000.0,0.73,0.405,0.091,13993781000.0,14.075,21354343000.0,1416534000.0,NCLH,6,1,MLE_TOP10xIRC_TOP10_20d
9282,2025-07-11,2025-04-25,77,,MATCHED_STRONG,False,OK,,27582000000.0,546000000.0,0.9,-546000000.0,0.054,0.68,0.02,7995000000.0,2.546,33212000000.0,9365000000.0,LUV,4,4,MLE_TOP10xIRC_TOP10_20d
10291,2025-07-11,2025-04-03,99,,MATCHED_STRONG,False,OK,,47818000000.0,4508000000.0,3.02,5311000000.0,0.32,0.438,0.094,11911000000.0,1.698,37793000000.0,14007000000.0,NKE,8,5,MLE_TOP10xIRC_TOP10_20d
